Unnamed: 0,isbn,genre
0,9780073517216,1.0
1,9780201563177,
2,9780201563177,1.0
3,9781593272203,1.0
4,9780764548338,2.0
5,9781565924277,4.0
6,9780471168942,67.0
7,9780672311079,
8,9781491931257,
9,9781491979808,
10,9781491924358,
11,9781449387860,
12,9781578700479,
13,9780132360395,
14,9780596000257,
15,9781593273897,
16,9780134496009,
17,9781118983843,
18,9781119722335,
19,9780134277554,
20,9780130206015,
21,9781509300914,
22,9781788990554,
23,9781784399597,
24,9781800564640,
25,9781838981778,
26,9781703404609,
27,9780471946939,
28,9780982131428,
29,9781617294167,
30,9781617295096,
31,9781593279189,
32,9781565924956,
33,9780596000035,
34,9781565927094,
35,9781491927571,
36,9781449305352,
37,9781784390891,
38,9781492057697,
39,9781430218333,
40,9781449316389,
41,9781119572671,
42,9781839214189,
43,9781617293726,
44,9781838820756,
45,9781838983444,
46,9781617296987,
47,9781491929124,
48,9781492040767,
49,9781838552183,
50,9781484269206,
51,9798653385322,
52,9781617294440,
53,9781617297625,
54,9781305880290,
55,9780789735973,
56,9780072263503,
57,9781617297519,
58,9781617295508,
59,9781617295980,
60,9780134000022,
61,9780201835953,
62,9781449357016,
